DEBUG 2017-12-14 14:27:01,530 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
INFO  2017-12-14 14:27:19,972 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/spin.js/spin.js  
INFO  2017-12-14 14:27:19,976 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/spin.js/jquery.spin.js  
INFO  2017-12-14 14:27:20,004 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/spin.js/spin.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\spin.js\spin.js'
INFO  2017-12-14 14:27:20,024 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 150.3873ms 200 application/javascript
INFO  2017-12-14 14:27:20,074 [14   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/sweetalert/dist/sweetalert-dev.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\sweetalert\dist\sweetalert-dev.js'
INFO  2017-12-14 14:27:20,202 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 593.2165ms 200 application/javascript
INFO  2017-12-14 14:27:20,229 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/spin.js/jquery.spin.js'. Physical path: 'D:\GitHub\ABPAdminLTE\src\Wing.ABPAdminLTE.Web\wwwroot\lib\spin.js\jquery.spin.js'
INFO  2017-12-14 14:27:20,256 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 83.0471ms 200 application/javascript
INFO  2017-12-14 14:27:20,294 [14   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 277.3383ms 200 application/javascript
INFO  2017-12-14 14:27:20,300 [15   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/abp-web-resources/Abp/Framework/scripts/libs/abp.toastr.js  
INFO  2017-12-14 14:27:20,305 [9    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:62114/lib/abp-web-resources/Abp/Framework/scripts/abp.js  
